Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,taster_name,taster_twitter_handle,title
128229,US,"This wine is a unique blend of 50% Petit Verdot, 25% Syrah and 25% Cabernet Sauvignon aged in a mixture of 59% new French and American oak. Unusual aromas of lemon twist, vanilla, white pepper, herb and green wood lead to high-acid elegant fruit flavors backed by coarse gritty-feeling tannins. It doesn't stand up by itself but has a place at the dinner table.",Bolsa Negra Vino Rojo Reserve,87,60.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Castillo De Feliciana,Sean P. Sullivan,@wawinereport,Castillo De Feliciana 2014 Bolsa Negra Vino Rojo Reserve Red (Columbia Valley (WA))
128230,US,"Light in color, aromas of vanilla, caramel, toast, char and wood spice lead to wood-forward fruit flavors backed by tart acids. The oak seems out of check but it still brings some appeal.",Rosebud Vineyard Red Wine,87,27.0,Washington,Columbia Valley (WA),Columbia Valley,Tempranillo,Castillo De Feliciana,Sean P. Sullivan,@wawinereport,Castillo De Feliciana 2014 Rosebud Vineyard Red Wine Tempranillo (Columbia Valley (WA))
128231,France,"This is a fruity wine, light and bright in character. It has acidity and black-currant crispness. The light tannins are just enough to give the wine shape. Drink now.",,87,16.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château des Arras,Roger Voss,@vossroger,Château des Arras 2015  Bordeaux Supérieur
128232,France,"This wine, with its gentle wood aging and ripe fruits, is the more accessible early of the two wines made at the estate. It is full of ripe berry fruits, while having a background of firm tannins and a dusty texture. The wine should be ready from 2018.",Cuvée Sélection,87,19.0,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Grand-Maison,Roger Voss,@vossroger,Château Grand-Maison 2012 Cuvée Sélection  (Côtes de Bourg)
128233,France,"From vines in the heart of the Entre-deux-Mers, this 85% Merlot wine is rich with layers of young black fruit and spicy wood flavors. It is still a young, structured wine and needs time for the powerful tannins to soften. Drink from 2019.",,87,26.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Jean de Bel Air,Roger Voss,@vossroger,Château Jean de Bel Air 2015  Bordeaux
128234,France,The wine has some extraction that leaves a bitter edge. That needs to blow off to allow the underlying ripe blackberry fruit to come through. So wait until 2018.,Grande Réserve,87,18.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Labatut,Roger Voss,@vossroger,Château Labatut 2015 Grande Réserve  (Bordeaux Supérieur)
128235,France,"With firm tannins as well as juicy black-currants, this is an attractive wine. It has plenty of acidity which is balanced by the ripe fruitiness. Drink from 2018.",,87,22.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Laronde Desormes,Roger Voss,@vossroger,Château Laronde Desormes 2015  Bordeaux Supérieur
128236,France,"The wine, with its juicy red fruits, has fine acidity as well as a core that has a dry tannin and mineral texture. It is structured and firm with the fruit still developing. Drink from 2020.",,87,39.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Magnan-Figeac,Roger Voss,@vossroger,Château Magnan-Figeac 2014  Saint-Émilion
128237,France,"From its origins in the Middle Ages, this estate has always been a vineyard. This latest vintage released is fruity with wood aging still obvious in the toastiness and spice. But there is plenty of rich berry fruit to give this wine a good short-term potential. Drink from late 2018.",St Martin,87,,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Maison Noble,Roger Voss,@vossroger,Château Maison Noble 2015 St Martin  (Bordeaux Supérieur)
128238,France,This is a structured and balanced wine. It has spice along with tannins that are built on ripe red-fruits. This is a full-bodied wine that is made for food. Drink now.,,87,14.0,Bordeaux,Bordeaux Clairet,,Bordeaux-style Red Blend,Château Turcaud,Roger Voss,@vossroger,Château Turcaud 2016  Bordeaux Clairet
128239,US,"The aromas are unusual, with notes of mandarin orange, apricot, tin and herb. The palate is sweet and fleshy, showing a brightness of fruit flavor.",Coyote Canyon Vineyard,87,19.0,Washington,Horse Heaven Hills,Columbia Valley,Roussanne,Coyote Canyon,Sean P. Sullivan,@wawinereport,Coyote Canyon 2015 Coyote Canyon Vineyard Roussanne (Horse Heaven Hills)
128240,US,"The aromas are bright and sweet, with notes of freshly cut cantaloupe, pear and candied red apple. The flavors are tangy, sweet and full, with an herbal streak that runs throughout.",,87,19.0,Washington,Horse Heaven Hills,Columbia Valley,Albariño,Coyote Canyon,Sean P. Sullivan,@wawinereport,Coyote Canyon 2016 Albariño (Horse Heaven Hills)
128241,US,"Dried cherry and raspberry aromas lead to medium-bodied, sweet fruit flavors that seem bit clipped. It doesn't all come together.",Spartan,87,15.0,Washington,Rattlesnake Hills,Columbia Valley,Red Blend,Dusty Cellars,Sean P. Sullivan,@wawinereport,Dusty Cellars 2015 Spartan Red (Rattlesnake Hills)
128242,France,This branded Bordeaux is packed both with fruit and with a firm structure. It has a dense texture and solid tannins although the generous fruit will allow it to age relatively quickly. Drink from 2018.,,87,17.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Fleur de Charme,Roger Voss,@vossroger,Fleur de Charme 2015  Bordeaux Supérieur
128243,US,"Scents of smoke, forest floor and leather lend rustic elegance to this bright briskly concentrated wine. Blackberry and cherry flavors are pleasantly crisp, framed by soft ripe tannins and an earthy lingering finish.",,87,22.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Fox Run,Anna Lee C. Iijima,,Fox Run 2015 Cabernet Franc (Finger Lakes)
128244,Italy,"Aromas of coconut, oak, vanilla and espresso carry over to the palate along with roasted coffee bean, powdered sage, aniseed and dried cherry. Grainy tannins grip the lean finish.",Colarej,87,,Piedmont,Barolo,,Nebbiolo,Gemma,Kerin O’Keefe,@kerinokeefe,Gemma 2013 Colarej  (Barolo)
128245,Spain,"Compact, rubbery aromas of plum and berry come with notes of cheesy oak and cowhide. A tight, fresh palate is balanced, tasting of plum, berry fruits and oaky spice. A straightforward finish echoes the palate.",,87,13.0,Northern Spain,Rioja,,Tempranillo,Pingao,Michael Schachner,@wineschach,Pingao 2014  Rioja
128246,Italy,"This opens with subdued aromas of French wood, grilled herb, forest floor and dark spice. The firmly structured palate shows espresso, toast, powdered sage and licorice but not much fruit richness. Grainy drying tannins leave an astringent mouthfeel.",Vigneto Bordini,87,50.0,Piedmont,Barbaresco,,Nebbiolo,La Spinetta,Kerin O’Keefe,@kerinokeefe,La Spinetta 2012 Vigneto Bordini  (Barbaresco)
128247,US,Whiffs of smoke and dark toast lend savoriness to this otherwise plush plummy Cabernet Sauvignon. Unctuous black plum and berry flavors are rich and yielding on the palate but finish with bold penetrating tannins.,,87,24.0,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Thirsty Owl Wine Company,Anna Lee C. Iijima,,Thirsty Owl Wine Company 2015 Cabernet Sauvignon (Finger Lakes)
128248,US,"Very dried fruit aromas of elderberry and raisins meet with potent nutmeg, clove and rustic leather on the nose of this bottling from the Pozo area. Raisins and prunes dominate the palate, with a hint of gingerbread and chocolate cake.",Estate,87,20.0,California,San Luis Obispo County,Central Coast,Merlot,Vintage Cowboy,Matt Kettmann,@mattkettmann,Vintage Cowboy 2014 Estate Merlot (San Luis Obispo County)
128249,Italy,"Underbrush, coconut, espresso and floral aromas lead the nose. It's full-bodied but lean in terms of fruit richness, offering exotic spice, roasted coffee bean and a hint of licorice while aggressive grainy tannins leave a mouth-drying astringent finish.",del Comune di Barolo,87,55.0,Piedmont,Barolo,,Nebbiolo,Virna Borgogno,Kerin O’Keefe,@kerinokeefe,Virna Borgogno 2013 del Comune di Barolo  (Barolo)
128250,US,"While a bit restrained in style, this dry easy-going Riesling offers delicate shades of tangerine and yellow-apple flavor augmented by zesty lime and lemon acidity. Crisp texture and a soft bristle of lime zest lend a vibe to the finish.",Reserve,87,25.0,New York,New York,New York Other,Riesling,Whitecliff Vineyard,Anna Lee C. Iijima,,Whitecliff Vineyard 2015 Reserve Riesling (New York)
128251,Chile,"Quite staunch and almost sour smelling, with an initial blast of vinegar that later settles on herbal. Flavors of baked beans and herbal fruit carry heat and scouring acidity. Rubbery as well.",Reserva,81,9.0,Maipo Valley,,,Carmenère,Santa Alicia,Michael Schachner,@wineschach,Santa Alicia 2008 Reserva Carmenère (Maipo Valley)
128252,US,"Penguin Bay has managed to coax some fruit out of the reticent Pinot Grigio grape: this example has nice pineapple and melon tones upfront. It's less impressive in the mouth, with significant residual sugar and a short, watery finish. Drink up.",,81,16.0,New York,Finger Lakes,Finger Lakes,Pinot Grigio,Penguin Bay,,,Penguin Bay 2008 Pinot Grigio (Finger Lakes)
128253,US,"Sawdust scents dominate the nose while butter, underlined by candied orange peel and clove, take over in the mouth. Medium finish shows some funky notes.",Estate Club Reserva,81,32.0,Virginia,Virginia,,Chardonnay,Veramar,,,Veramar 2007 Estate Club Reserva Chardonnay (Virginia)
128254,Argentina,"Disappointing considering the source. The nose reeks of chocolate mint, marshmallow and burnt leaves, while the palate is tannic, sour and shows only citrusy red fruit notes. One of Lurton's weakest wines to date.",Gran Lurton,80,20.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,François Lurton,Michael Schachner,@wineschach,François Lurton 2006 Gran Lurton Cabernet Sauvignon (Mendoza)
128255,Argentina,"Severely compromised by green, minty, weedy aromas and flavors. If it weren't for the color and reasonably solid mouthfeel, this would be sunk. As is, it's not a ripe, balanced wine.",,80,13.0,Mendoza Province,Mendoza,,Malbec,Viniterra,Michael Schachner,@wineschach,Viniterra 2007 Malbec (Mendoza)
128256,US,"A hot, harsh and unbalance Chardonnay. Barely drinkable, except for some citrus and pear flavors.",,80,24.0,California,Contra Costa County,Central Coast,Chardonnay,Bloomfield,,,Bloomfield 2008 Chardonnay (Contra Costa County)
128257,US,"Simple but refreshing and crisp, with nice grapefruit, lime and lemon peel accents. The faintly off-dry finish turns a bit tart.",Dry,80,16.0,Missouri,Missouri,,Vignoles,Montelle,,,Montelle 2008 Dry Vignoles (Missouri)
128258,US,"This Chardonnay-Viognier blend is slightly sweet, with vegetable-infused pineapple flavors.",Devil's Daughter,80,25.0,California,Contra Costa County,Central Coast,White Blend,Bloomfield,,,Bloomfield 2008 Devil's Daughter White (Contra Costa County)
128259,US,"While there's some nice, honest fruit here, it's weighed down by heavy vanilla overtones. The finish is long enough but shows a confected element and winds up with a singed wood tone.",,80,14.0,Missouri,Missouri,,Chambourcin,Montelle,,,Montelle 2008 Chambourcin (Missouri)
128260,US,"Banana, clove and orange peel open for this sweet, slightly dilute white. Short finish of spring flowers.",Lucky Twenty,80,12.0,Colorado,Colorado,,White Blend,BookCliff,,,BookCliff NV Lucky Twenty White (Colorado)
128261,US,"Short and slightly sweet, there's nutty overtones, a creamy texture and good acidity but a buttery note overwhelms the fruit. Drink up.",Proprietor's Reserve,80,13.0,Pennsylvania,Pennsylvania,,White Blend,Chaddsford,,,Chaddsford 2007 Proprietor's Reserve White (Pennsylvania)
128262,Argentina,"Smells like crushed vitamins, iron and minerals, but no fruit. Weak, funky and sour tasting, and then angular on the finish. There's even some sauerkraut in the mix. Not what we're looking for.",Finca La Martina,80,13.0,Mendoza Province,Mendoza,,Chardonnay,Reyter,Michael Schachner,@wineschach,Reyter 2009 Finca La Martina Chardonnay (Mendoza)
128263,US,"Made from 100% Cabernet Sauvignon, this wine was grown in the Vaca Mountains above the Silverado Trail, within the Rutherford AVA. It's very dry and very tannic, making it undrinkable now. Yet it has a potent core of blackberries and black cherries, and is classically structured. Seems to have everything it needs for the cellar. 2012–2018.",Auberge Road Vineyard,94,60.0,California,Rutherford,Napa,Cabernet Sauvignon,Lieff,,,Lieff 2006 Auberge Road Vineyard Cabernet Sauvignon (Rutherford)
128264,Australia,"For a wine that's 100% Mourvèdre, this has pretty tame tannins, the suppleness and creamy texture helping to balance some of the crisp acids and tart red berry notes. Varietal cola and tree bark aromas and flavors add complexity to this structured but approachable red that should drink well for at least the next 5–8 years.",The Twentyeight Road,89,35.0,South Australia,McLaren Vale,,Mourvèdre,D'Arenberg,Joe Czerwinski,@JoeCz,D'Arenberg 2006 The Twentyeight Road Mourvèdre (McLaren Vale)
128265,US,"This is nearly perfect, a massive, monumental wine whose sheer power is matched only by its grace and refinement. The flavors of blackberries, cassis, dark chocolate, buttered toast and cedar flood the mouth, tightly controlled by firm tannins and good acidity. Decant for several hours if you open it now, but better to give it 6–10 years in the bottle.",Reserve,99,100.0,California,Oak Knoll District,Napa,Cabernet Sauvignon,Trefethen,,,Trefethen 2005 Reserve Cabernet Sauvignon (Oak Knoll District)
128266,Germany,"While sometimes the Pauly-Bergweiler wines come across as too simply sweet, this one hits all the right notes, from an outrageously exotic bouquet of dried apricots, orange marmalade and faintly sweaty socks that add a kinky edge to the rich, layered texture in the mouth and virtually endless finish. Should age effortlessly for decades, but it's pretty spectacular now.",Bernkasteler Badstube Trockenbeerenauslese,97,250.0,Mosel-Saar-Ruwer,,,Riesling,Dr. Pauly Bergweiler,Joe Czerwinski,@JoeCz,Dr. Pauly Bergweiler 2007 Bernkasteler Badstube Trockenbeerenauslese Riesling (Mosel-Saar-Ruwer)
128267,US,"An extraordinary wine. It's the essence of Russian River Pinot, squared, a big, concentrated, dramatic wine that never loses sight of elegance. Offers a tapestry of cherry pie with the crust, red currant, cherry liqueur and smoky sandalwood flavors that finish with intricate Indian spices. Drink now–2013.",Gold Ridge,97,85.0,California,Russian River Valley,Sonoma,Pinot Noir,Semper,,,Semper 2007 Gold Ridge Pinot Noir (Russian River Valley)
128268,US,"A monumental Cabernet that succeeds on every level. It's deep, dark and ultrarich, showing massive blackberries, black currants, dark chocolate, violets, minerals and a touch of sweet, smoky oak. Beyond the flavors is the dramatic structure, with fabulously ripe, dense tannins and a bone-dry, long finish. Surely a tremendous wine capable of long-term aging. Try 2012–2018, at least.",Estate,97,50.0,California,Oak Knoll District,Napa,Cabernet Sauvignon,Trefethen,,,Trefethen 2005 Estate Cabernet Sauvignon (Oak Knoll District)
128269,US,"Massive, dramatic, beautiful, intense, but young and firm in tannins, with a cut of fresh acidity. Shows concentrated blackberries, black currants, violets, minerals and cedar, leading to a long, penetrating finish. Very great Cabernet, vibrant and potent, just tremendous in structure. Potentially a near-perfect wine with 4–6 years in the bottle.",,97,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hestan,,,Hestan 2006 Cabernet Sauvignon (Napa Valley)
128270,US,"Monumentally detailed, this 100% Cabernet Sauvignon is impressive for its sheer volumetrics. Offers masses of blackberries, black currants, cherries and cassis.  Huge, dramatic, yet impeccably balanced and dry. Feels firm and ultrarefined in tannic structure, with graceful acidity offering a perfect counterpoint to the fruity richness. Just beautiful, and ageable for at least a decade.",,97,65.0,California,St. Helena,Napa,Cabernet Sauvignon,Redmon,,,Redmon 2006 Cabernet Sauvignon (St. Helena)
128271,Spain,"Concentrated to the hilt, with molten black fruit, coconut and mint aromas. The palate is driven, tannic, pure and features dynamite flavors of black fruit, bitter chocolate and spice cake. So beautiful and big, but also showing elegance and restraint. Drinkable now but will age well for another seven years or more.",Old Vines Unfiltered,96,82.0,Northern Spain,Rioja,,Tempranillo Blend,Remírez de Ganuza,Michael Schachner,@wineschach,Remírez de Ganuza 2005 Old Vines Unfiltered  (Rioja)
128272,US,"This wine was made with 76% whole-cluster fruit, and it shows with iron rich notes on the nose as well as strong thyme, dark hibiscus, crushed cinnamon stick and other powerful red spices. Light and tannic cranberry fruit and plum-skin tartness pop on the palate as does thyme, green peppercorn and green cardamom.",Lester Family Vineyard,92,48.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Big Basin,Matt Kettmann,@mattkettmann,Big Basin 2013 Lester Family Vineyard Pinot Noir (Santa Cruz Mountains)
128273,Italy,"Ripe plum, fragrant blue flower, Mediterranean herb, espresso and a whiff of exotic spice are some of the aromas you'll find on this structured, polished red. It's still young and tightly wound, offering mature black cherry, raspberry compote, licorice, toast and ground pepper flavors that are framed by youthfully assertive yet refined tannins. Give it a few more years to soften and fully develop; drink 2019–2028.",Sassello Gran Selezione,92,79.0,Tuscany,Chianti Classico,,Sangiovese,Castello di Verrazzano,Kerin O’Keefe,@kerinokeefe,Castello di Verrazzano 2012 Sassello Gran Selezione  (Chianti Classico)
128274,France,"A dark colored blend of Négrette and Syrah, this is a concentrated and perfumed wine from Philip Grant, an Irishman who bought the estate in 2008. It is full of ripe plum fruits and bold tannins that give shape to what is a super-rich wine. The wood aging has cast a smooth patina over the fruit and given an extra complexity. This fine wine is ready to drink.",Optimum,92,39.0,Southwest France,Fronton,,Red Blend,Château Bellevue la Forêt,Roger Voss,@vossroger,Château Bellevue la Forêt 2011 Optimum Red (Fronton)
128275,France,"From a 16-acre vineyard, this 100% Malbec wine is properly dark in color, with dense tannins as well as ripe black plum fruits. There is a strong mineral character from the chalk in the soil, giving a powerful texture as well as structure that will allow the wine to age. This rich wine should be drunk from 2020.",Cuvée Prestige,92,25.0,Southwest France,Cahors,,Malbec,Château de Cénac,Roger Voss,@vossroger,Château de Cénac 2014 Cuvée Prestige Malbec (Cahors)
128276,US,"Winemakers Greg Morthole and David Ramey showcase this vineyard site well, a special spot in the heart of the appellation. Rich and spicy, the wine features tastes of black tea, deep dark fruit and zesty minerality, all layered by toasty oak. Full bodied and luxurious, it finds its way to a bright, fresh finish.",Jane's Vineyard Dijon Clone 777,92,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Davis Bynum,Virginie Boone,@vboone,Davis Bynum 2013 Jane's Vineyard Dijon Clone 777 Pinot Noir (Russian River Valley)
128277,Spain,"Black in color, this Petit Verdot smells of iodine, black currant, road tar and leather. The palate is saturated, with a burst of acidity creating zest and balance. Oaky, powerful blackberry flavors shorten up on a muscular, tannic finish. Drink through 2021.",Single Vineyard Estate Bottled,92,40.0,Central Spain,Dominio de Valdepusa,,Petit Verdot,Marques de Griñon,Michael Schachner,@wineschach,Marques de Griñon 2011 Single Vineyard Estate Bottled Petit Verdot (Dominio de Valdepusa)
128278,Australia,"Savvy shoppers may be able to find this for about $20, making it an excellent deal in a full-bodied, structured red wine. Cassis, vanilla and plum notes mark the nose and palate, finishing with a flourish of dusty-textured tannins. Drink now–2025.",Shotfire,92,23.0,South Australia,Barossa,,Shiraz,Thorn Clarke,Joe Czerwinski,@JoeCz,Thorn Clarke 2013 Shotfire Shiraz (Barossa)
128279,Greece,"Lemon and slate aromas give this wine an immediate poise, but there's much more complexity on the palate. Mineral-driven but full of fresh and full-bodied citrus, pineapple and grapefruit, the wine finishes with a chalky and brisk tidiness. A truly delicious expression of a very distinctive grape.",,92,25.0,Santorini,,,Assyrtico,Tselepos,Susan Kostrzewa,@suskostrzewa,Tselepos 2014 Assyrtico (Santorini)
128280,Portugal,"This is a new wine from Vinha Paz. It is right up to the standards of the vineyard's reds: a beautifully perfumed, ripe wine that has Encruzado in the blend. Rich, full of yellow and spicy fruits, it is both structured, toasty and intense. Drinkable now.",Colheita,92,35.0,Dão,,,Portuguese White,Vinha Paz,Roger Voss,@vossroger,Vinha Paz 2014 Colheita White (Dão)
128281,US,"An estate-grown blend of 50% Cabernet Sauvignon, 40% Petite Sirah and 10% Merlot, aged entirely in French oak, half of it new, this is a delight of a wine, surprisingly light on its feet despite the vintage and the varieties. Blackberry, cassis and tar wrap around dusty tannins that soften in the glass, teasing on the finish with an expression of fresh flowers.",Twelve Falls,92,75.0,California,Stags Leap District,Napa,Red Blend,Stags' Leap Winery,Virginie Boone,@vboone,Stags' Leap Winery 2012 Twelve Falls Red (Stags Leap District)
128282,US,"Owner/winemaker Tony Rynders speaks of walking a tightrope to deliver the best each vintage has to offer. Here the results are supple and downright sexy, a boatload of plummy fruit swathed in chocolate and almond paste. It's lush, seamless, and perfect for near-term enjoyment.",TightRope,92,64.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Tendril,Paul Gregutt,@paulgwine ,Tendril 2012 TightRope Pinot Noir (Willamette Valley)
128283,France,"This is the high-elevation Kimmeridgian soil interpretation of Viognier at the Lagrézette estate from enologist Claude Boudamani with consultant Michel Rolland. Despite its high alcohol, it is restrained and serious with structured fruits and a sense of balanced power. The fruits, apricots and white peach sing harmoniously with the pepper and spice from wood aging. Drink from 2017.",Le Pigeonnier White Vision,92,90.0,Southwest France,Côtes du Lot,,Viognier,Château Lagrézette,Roger Voss,@vossroger,Château Lagrézette 2014 Le Pigeonnier White Vision Viognier (Côtes du Lot)
128284,France,"This is a ripe and opulent wine. It has rich tannins and generous black fruits but it still offers a spicy wood-aging flavor. As it develops, the intense fruits and smoky flavors will come to dominate, while always preserving the structure of the wine. It is a wine to age a bit, so drink from 2017.",Origine,92,18.0,Southwest France,Cahors,,Malbec,Château Vincens,Roger Voss,@vossroger,Château Vincens 2014 Origine Malbec (Cahors)
128285,Chile,"Blackened spice aromas are affixed to blackberry and herbal scents on this full-bodied, saturated Maipo Syrah. In the mouth, this is big in every way, with bolstering acidity. Flavors of black plum, boysenberry and tomato bring spice and herbal notes into play, while the finish is juicy but not overly long, with notes of herbs, spice and oaky vanilla. Drink through 2020.",Gravas del Maipo,92,150.0,Buin,,,Syrah,Concha y Toro,Michael Schachner,@wineschach,Concha y Toro 2011 Gravas del Maipo Syrah (Buin)
128286,France,"Situated in the Tarn River valley, south of Cahors and west of Toulouse, this estate has turned towards Bordeaux in its choice of grapes. The wine has structure, tense tannins as well as black currant fruit flavors. It's a rich, generous wine, and with its acidity and firm background it will age. Drink from 2018.",Cuvée Germain,92,20.0,Southwest France,Côtes du Tarn,,Bordeaux-style Red Blend,Domaine D'en Ségur,Roger Voss,@vossroger,Domaine D'en Ségur 2013 Cuvée Germain Red (Côtes du Tarn)
128287,France,"A complex, ripe wine that has rich red fruits, dark cherries and a serious undertow of tannin. The name comes from what the producer calls the alchemy between wood and fruit, and certainly the balance is just right. It has structure and dense tannins along with a juicy fruitiness. The wine is now ready to drink.",Alchimie,92,25.0,Beaujolais,Côte de Brouilly,,Gamay,Domaine Dumas,Roger Voss,@vossroger,Domaine Dumas 2011 Alchimie  (Côte de Brouilly)
128288,US,"The nose on this savory, crowd-pleasing wine is great, with attractive notes of black plum, sesame oil, soy, hoisin and salted caramel. An array of well-integrated flavors flood the palate, like black cherry stewed in Indian spice, Asian plum sauce, blackberry preserves and stewed peppercorns.",Winemaker Series,92,30.0,California,Central Coast,Central Coast,Malbec,Edna Valley Vineyard,Matt Kettmann,@mattkettmann,Edna Valley Vineyard 2013 Winemaker Series Malbec (Central Coast)
128289,US,"Another of the producer's 100% varietal, single-vineyard wines, this is a lovely quaff, dark black in color and attitude, with a taste of black olive tapenade. Sanguine and medium bodied, it has a thick, peppery finish balanced in minerality.",Las Madres Vineyard,92,44.0,California,Carneros,Napa-Sonoma,Syrah,Eric Kent,Virginie Boone,@vboone,Eric Kent 2012 Las Madres Vineyard Syrah (Carneros)
128290,US,"The grapes for this lovely wine come from the Dry Stack Vineyard and Fallenleaf, some of which is planted to the Sauvignon Musque clone. Zesty acidity takes the first punch, remaining brightly balanced and explosive on the palate, with additional hits of white peach, apricot and honey.",Cuvée Renee,92,31.0,California,Sonoma County,Sonoma,Sauvignon Blanc,Eric Kent,Virginie Boone,@vboone,Eric Kent 2014 Cuvée Renee Sauvignon Blanc (Sonoma County)
128291,Italy,"Scorched earth, underbrush, cured meat and grilled sage aromas lead the way together with a whiff of new leather. The ripe, juicy palate doles out black raspberry, succulent wild cherry, baking spice and a hint of tobacco. Packed but mature tannins retrain the rich fruit.",,92,70.0,Tuscany,Brunello di Montalcino,,Sangiovese,Fattoi,Kerin O’Keefe,@kerinokeefe,Fattoi 2011  Brunello di Montalcino
128292,US,"A bit tight and funky on the nose with damp mushrooms and juniper notes spicing up the black-cherry fruit, this clonal study by winemaker Blair Fox is a great eye-opener for wine geeks. The palate packs shiitake and porcini flavors with basil, bay leaf, oregano and black-pepper spice, laid across black-plum fruit and soy-sauce richness.",Clone 2A,92,55.0,California,Santa Barbara County,Central Coast,Pinot Noir,Fess Parker,Matt Kettmann,@mattkettmann,Fess Parker 2013 Clone 2A Pinot Noir (Santa Barbara County)
128293,US,"Thick and viscous in the glass, this densely loaded wine shows buttery, vanilla-laced French toast on the nose as well as black cherry, blackberry, crushed lavender and marjoram notes. The round palate is relatively tight with elderberry, espresso and black-peppercorn flavors, lifted elegantly by purple flowers.",Black Orchid,92,48.0,California,Templeton Gap District,Central Coast,Petite Sirah,ONX,Matt Kettmann,@mattkettmann,ONX 2013 Black Orchid Petite Sirah (Templeton Gap District)
128294,France,"Half-and-half Chardonnay and Pinot Noir from premier and grand cru vineyards, this is a rich wine that has bottle age giving it a toasty character. It is full and ripe—still keeping acidity while bringing in mature flavors such as almonds and walnuts. This is a serious, complex and mature wine. Palmer is the brand name for a grouping of seven growers.",Amazone de Palmer Brut,92,140.0,Champagne,Champagne,,Champagne Blend,Palmer & Co,Roger Voss,@vossroger,Palmer & Co NV Amazone de Palmer Brut  (Champagne)
128295,US,"Lush and juicy, this has a grippy firmness of structure and the accompanying suggestion of years to go. Cassis and cedar lead over notes of black cherry and berry, with the support of a full, concentrated body. Drink now through 2022.",,92,110.0,California,Napa Valley,Napa,Cabernet Sauvignon,Patel,Virginie Boone,@vboone,Patel 2012 Cabernet Sauvignon (Napa Valley)
128296,US,"Lightly tropical and entirely mineral-driven, racing in acidity, this tightly wound wine is cradled in toasty, integrated oak that's still trying to let go. It shows hints of the goodness within, from crisp green apple to caramel and lemon meringue. Drink now through 2023.",Pastorale Vineyard Estate Grown,92,75.0,California,Sonoma Coast,Sonoma,Chardonnay,Joseph Phelps,Virginie Boone,@vboone,Joseph Phelps 2013 Pastorale Vineyard Estate Grown Chardonnay (Sonoma Coast)
128297,US,"A layered, savory and rich nose from this extremely coastal vineyard shows brawny strawberry and bramble notes as well as gingerbread, fresh purple, red and pink flowers, and a salty soy character. Lush olallieberry and blackberry fruit consumes the palate, lifted by black pepper and graphite-laced earth notes.",Derbyshire Vineyard,92,34.0,California,San Luis Obispo County,Central Coast,Pinot Noir,Last Light,Matt Kettmann,@mattkettmann,Last Light 2014 Derbyshire Vineyard Pinot Noir (San Luis Obispo County)
128298,US,"Ripe red cherries and red currants provide the fruit scents for the savory smoked pork and sanguine raw-beef qualities that power the nose on this single-vineyard bottling. Those bloody meats mix with elderberry, ripe red plum, lavender and allspice once sipped, proving complex and tangy but with lingering dark-fruit flavors.",Rosella's Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Loring Wine Company,Matt Kettmann,@mattkettmann,Loring Wine Company 2014 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands)
128299,US,"Exotic scents and flavors highlight this bottling by Doug Margerum that packs crushed kola nut, red roses, cinnamon stick, vanilla and a dewy lavender into the nose. The palate bursts with cologne-like qualities, combining raspberry, mulberry, pomegranate and heirloom plums with violets, lilacs and more purple and dark-red flowers.",,92,40.0,California,Santa Barbara County,Central Coast,Grenache,Margerum,Matt Kettmann,@mattkettmann,Margerum 2013 Grenache (Santa Barbara County)
128300,Germany,"While shades of slate and saffron lend complexity and nuance, this semisweet wine is more a showcase of sumptuous yellow peach and pear flavors. Its high-toned acidity and delicate, lacy mouthfeel make it irresistibly gulpable.",Zeltinger Sonnenuhr Josefsberg Old Vines Spätlese,92,28.0,Mosel,,,Riesling,Weingut Albert Gessinger,Anna Lee C. Iijima,,Weingut Albert Gessinger 2014 Zeltinger Sonnenuhr Josefsberg Old Vines Spätlese Riesling (Mosel)
128301,Germany,"While there's plenty of peachy, primary perfume, crushed slate and stone form the backbone of this deeply mineral Riesling. Dry in style, it's plush, creamy palate is balanced by a bitter edge of lime pith and savory pollen notes. It's a complex wine that should meld and intensify further over the next five years.",Westhofen Aulerde Trocken GG,92,72.0,Rheinhessen,,,Riesling,Wittmann,Anna Lee C. Iijima,,Wittmann 2014 Westhofen Aulerde Trocken GG Riesling (Rheinhessen)
